Balancing Authority,Data Date,Hour Number,Sub-Region,Demand (MW),Local Time at End of Hour,UTC Time at End of Hour
PJM,07/01/2018,1,BC,"3,134",07/01/2018 1:00:00 AM,07/01/2018 5:00:00 AM
PJM,07/01/2018,2,BC,"3,139",07/01/2018 2:00:00 AM,07/01/2018 6:00:00 AM
PJM,07/01/2018,3,BC,"3,377",07/01/2018 3:00:00 AM,07/01/2018 7:00:00 AM
PJM,07/01/2018,4,BC,"3,788",07/01/2018 4:00:00 AM,07/01/2018 8:00:00 AM
PJM,07/01/2018,5,BC,"4,262",07/01/2018 5:00:00 AM,07/01/2018 9:00:00 AM
PJM,07/01/2018,6,BC,"4,702",07/01/2018 6:00:00 AM,07/01/2018 10:00:00 AM
PJM,07/01/2018,7,BC,"5,054",07/01/2018 7:00:00 AM,07/01/2018 11:00:00 AM
PJM,07/01/2018,8,BC,"5,317",07/01/2018 8:00:00 AM,07/01/2018 12:00:00 PM
PJM,07/01/2018,9,BC,"5,529",07/01/2018 9:00:00 AM,07/01/2018 1:00:00 PM
PJM,07/01/2018,10,BC,"5,684",07/01/2018 10:00:00 AM,07/01/2018 2:00:00 PM
PJM,07/01/2018,11,BC,"5,825",07/01/2018 11:00:00 AM,07/01/2018 3:00:00 PM
PJM,07/01/2018,12,BC,"5,929",07/01/2018 12:00:00 PM,07/01/2018 4:00:00 PM
PJM,07/01/2018,13,BC,"5,985",07/01/2018 1:00:00 PM,07/01/2018 5:00:00 PM
PJM,07/01/2018,14,BC,"5,954",07/01/2018 2:00:00 PM,07/01/2018 6:00:00 PM
PJM,07/01/2018,15,BC,"5,789",07/01/2018 3:00:00 PM,07/01/2018 7:00:00 PM
PJM,07/01/2018,16,BC,"5,530",07/01/2018 4:00:00 PM,07/01/2018 8:00:00 PM
PJM,07/01/2018,17,BC,"5,332",07/01/2018 5:00:00 PM,07/01/2018 9:00:00 PM
PJM,07/01/2018,18,BC,"4,918",07/01/2018 6:00:00 PM,07/01/2018 10:00:00 PM
PJM,07/01/2018,19,BC,"4,463",07/01/2018 7:00:00 PM,07/01/2018 11:00:00 PM
PJM,07/01/2018,20,BC,"4,073",07/01/2018 8:00:00 PM,07/02/2018 12:00:00 AM
PJM,07/01/2018,21,BC,"3,810",07/01/2018 9:00:00 PM,07/02/2018 1:00:00 AM
PJM,07/01/2018,22,BC,"3,615",07/01/2018 10:00:00 PM,07/02/2018 2:00:00 AM
PJM,07/01/2018,23,BC,"3,489",07/01/2018 11:00:00 PM,07/02/2018 3:00:00 AM
PJM,07/01/2018,24,BC,"3,465",07/02/2018 12:00:00 AM,07/02/2018 4:00:00 AM
PJM,07/02/2018,1,BC,"3,134",07/02/2018 1:00:00 AM,07/02/2018 5:00:00 AM
PJM,07/02/2018,2,BC,"3,139",07/02/2018 2:00:00 AM,07/02/2018 6:00:00 AM
PJM,07/02/2018,3,BC,"3,377",07/02/2018 3:00:00 AM,07/02/2018 7:00:00 AM
PJM,07/02/2018,4,BC,"3,788",07/02/2018 4:00:00 AM,07/02/2018 8:00:00 AM
PJM,07/02/2018,5,BC,"4,262",07/02/2018 5:00:00 AM,07/02/2018 9:00:00 AM
PJM,07/02/2018,6,BC,"4,702",07/02/2018 6:00:00 AM,07/02/2018 10:00:00 AM
PJM,07/02/2018,7,BC,"5,054",07/02/2018 7:00:00 AM,07/02/2018 11:00:00 AM
PJM,07/02/2018,8,BC,"5,317",07/02/2018 8:00:00 AM,07/02/2018 12:00:00 PM
PJM,07/02/2018,9,BC,"5,529",07/02/2018 9:00:00 AM,07/02/2018 1:00:00 PM
PJM,07/02/2018,10,BC,"5,684",07/02/2018 10:00:00 AM,07/02/2018 2:00:00 PM
PJM,07/02/2018,11,BC,"5,825",07/02/2018 11:00:00 AM,07/02/2018 3:00:00 PM
PJM,07/02/2018,12,BC,"5,929",07/02/2018 12:00:00 PM,07/02/2018 4:00:00 PM
PJM,07/02/2018,13,BC,"5,985",07/02/2018 1:00:00 PM,07/02/2018 5:00:00 PM
PJM,07/02/2018,14,BC,"5,954",07/02/2018 2:00:00 PM,07/02/2018 6:00:00 PM
PJM,07/02/2018,15,BC,"5,789",07/02/2018 3:00:00 PM,07/02/2018 7:00:00 PM
PJM,07/02/2018,16,BC,"5,530",07/02/2018 4:00:00 PM,07/02/2018 8:00:00 PM
PJM,07/02/2018,17,BC,"5,332",07/02/2018 5:00:00 PM,07/02/2018 9:00:00 PM
PJM,07/02/2018,18,BC,"4,918",07/02/2018 6:00:00 PM,07/02/2018 10:00:00 PM
PJM,07/02/2018,19,BC,"4,463",07/02/2018 7:00:00 PM,07/02/2018 11:00:00 PM
PJM,07/02/2018,20,BC,"4,073",07/02/2018 8:00:00 PM,07/03/2018 12:00:00 AM
PJM,07/02/2018,21,BC,"3,810",07/02/2018 9:00:00 PM,07/03/2018 1:00:00 AM
PJM,07/02/2018,22,BC,"3,615",07/02/2018 10:00:00 PM,07/03/2018 2:00:00 AM
PJM,07/02/2018,23,BC,"3,489",07/02/2018 11:00:00 PM,07/03/2018 3:00:00 AM
PJM,07/02/2018,24,BC,"3,465",07/03/2018 12:00:00 AM,07/03/2018 4:00:00 AM
PJM,07/03/2018,1,BC,"3,183",07/03/2018 1:00:00 AM,07/03/2018 5:00:00 AM
PJM,07/03/2018,2,BC,"3,134",07/03/2018 2:00:00 AM,07/03/2018 6:00:00 AM
PJM,07/03/2018,3,BC,"3,139",07/03/2018 3:00:00 AM,07/03/2018 7:00:00 AM
PJM,07/03/2018,4,BC,"3,377",07/03/2018 4:00:00 AM,07/03/2018 8:00:00 AM
PJM,07/03/2018,5,BC,"3,788",07/03/2018 5:00:00 AM,07/03/2018 9:00:00 AM
PJM,07/03/2018,6,BC,"4,262",07/03/2018 6:00:00 AM,07/03/2018 10:00:00 AM
PJM,07/03/2018,7,BC,"4,702",07/03/2018 7:00:00 AM,07/03/2018 11:00:00 AM
PJM,07/03/2018,8,BC,"5,054",07/03/2018 8:00:00 AM,07/03/2018 12:00:00 PM
PJM,07/03/2018,9,BC,"5,317",07/03/2018 9:00:00 AM,07/03/2018 1:00:00 PM
PJM,07/03/2018,10,BC,"5,529",07/03/2018 10:00:00 AM,07/03/2018 2:00:00 PM
PJM,07/03/2018,11,BC,"5,684",07/03/2018 11:00:00 AM,07/03/2018 3:00:00 PM
PJM,07/03/2018,12,BC,"5,825",07/03/2018 12:00:00 PM,07/03/2018 4:00:00 PM
PJM,07/03/2018,13,BC,"5,929",07/03/2018 1:00:00 PM,07/03/2018 5:00:00 PM
PJM,07/03/2018,14,BC,"5,985",07/03/2018 2:00:00 PM,07/03/2018 6:00:00 PM
PJM,07/03/2018,15,BC,"5,954",07/03/2018 3:00:00 PM,07/03/2018 7:00:00 PM
PJM,07/03/2018,16,BC,"5,789",07/03/2018 4:00:00 PM,07/03/2018 8:00:00 PM
PJM,07/03/2018,17,BC,"5,530",07/03/2018 5:00:00 PM,07/03/2018 9:00:00 PM
PJM,07/03/2018,18,BC,"5,332",07/03/2018 6:00:00 PM,07/03/2018 10:00:00 PM
PJM,07/03/2018,19,BC,"4,918",07/03/2018 7:00:00 PM,07/03/2018 11:00:00 PM
PJM,07/03/2018,20,BC,"4,463",07/03/2018 8:00:00 PM,07/04/2018 12:00:00 AM
PJM,07/03/2018,21,BC,"4,073",07/03/2018 9:00:00 PM,07/04/2018 1:00:00 AM
PJM,07/03/2018,22,BC,"3,810",07/03/2018 10:00:00 PM,07/04/2018 2:00:00 AM
PJM,07/03/2018,23,BC,"3,615",07/03/2018 11:00:00 PM,07/04/2018 3:00:00 AM
