Balancing Authority,Data Date,Hour Number,Sub-Region,Demand (MW),Local Time at End of Hour,UTC Time at End of Hour
CISO,07/01/2018,1,SDGE,"2,023",07/01/2018 1:00:00 AM,07/01/2018 8:00:00 AM
CISO,07/01/2018,2,SDGE,"1,896",07/01/2018 2:00:00 AM,07/01/2018 9:00:00 AM
CISO,07/01/2018,3,SDGE,"1,857",07/01/2018 3:00:00 AM,07/01/2018 10:00:00 AM
CISO,07/01/2018,4,SDGE,"1,825",07/01/2018 4:00:00 AM,07/01/2018 11:00:00 AM
CISO,07/01/2018,5,SDGE,"1,798",07/01/2018 5:00:00 AM,07/01/2018 12:00:00 PM
CISO,07/01/2018,6,SDGE,"1,826",07/01/2018 6:00:00 AM,07/01/2018 1:00:00 PM
CISO,07/01/2018,7,SDGE,"1,737",07/01/2018 7:00:00 AM,07/01/2018 2:00:00 PM
CISO,07/01/2018,8,SDGE,"1,621",07/01/2018 8:00:00 AM,07/01/2018 3:00:00 PM
CISO,07/01/2018,9,SDGE,"1,566",07/01/2018 9:00:00 AM,07/01/2018 4:00:00 PM
CISO,07/01/2018,10,SDGE,"1,493",07/01/2018 10:00:00 AM,07/01/2018 5:00:00 PM
CISO,07/01/2018,11,SDGE,"1,465",07/01/2018 11:00:00 AM,07/01/2018 6:00:00 PM
CISO,07/01/2018,12,SDGE,"1,471",07/01/2018 12:00:00 PM,07/01/2018 7:00:00 PM
CISO,07/01/2018,13,SDGE,"1,486",07/01/2018 1:00:00 PM,07/01/2018 8:00:00 PM
CISO,07/01/2018,14,SDGE,"1,522",07/01/2018 2:00:00 PM,07/01/2018 9:00:00 PM
CISO,07/01/2018,15,SDGE,"1,592",07/01/2018 3:00:00 PM,07/01/2018 10:00:00 PM
CISO,07/01/2018,16,SDGE,"1,685",07/01/2018 4:00:00 PM,07/01/2018 11:00:00 PM
CISO,07/01/2018,17,SDGE,"1,836",07/01/2018 5:00:00 PM,07/02/2018 12:00:00 AM
CISO,07/01/2018,18,SDGE,"2,058",07/01/2018 6:00:00 PM,07/02/2018 1:00:00 AM
CISO,07/01/2018,19,SDGE,"2,324",07/01/2018 7:00:00 PM,07/02/2018 2:00:00 AM
CISO,07/01/2018,20,SDGE,"2,460",07/01/2018 8:00:00 PM,07/02/2018 3:00:00 AM
CISO,07/01/2018,21,SDGE,"2,593",07/01/2018 9:00:00 PM,07/02/2018 4:00:00 AM
CISO,07/01/2018,22,SDGE,"2,498",07/01/2018 10:00:00 PM,07/02/2018 5:00:00 AM
CISO,07/01/2018,23,SDGE,"2,306",07/01/2018 11:00:00 PM,07/02/2018 6:00:00 AM
CISO,07/01/2018,24,SDGE,"2,093",07/02/2018 12:00:00 AM,07/02/2018 7:00:00 AM
CISO,07/02/2018,1,SDGE,"1,939",07/02/2018 1:00:00 AM,07/02/2018 8:00:00 AM
CISO,07/02/2018,2,SDGE,"1,842",07/02/2018 2:00:00 AM,07/02/2018 9:00:00 AM
CISO,07/02/2018,3,SDGE,"1,813",07/02/2018 3:00:00 AM,07/02/2018 10:00:00 AM
CISO,07/02/2018,4,SDGE,"1,794",07/02/2018 4:00:00 AM,07/02/2018 11:00:00 AM
CISO,07/02/2018,5,SDGE,"1,825",07/02/2018 5:00:00 AM,07/02/2018 12:00:00 PM
CISO,07/02/2018,6,SDGE,"1,925",07/02/2018 6:00:00 AM,07/02/2018 1:00:00 PM
CISO,07/02/2018,7,SDGE,"2,018",07/02/2018 7:00:00 AM,07/02/2018 2:00:00 PM
CISO,07/02/2018,8,SDGE,"2,017",07/02/2018 8:00:00 AM,07/02/2018 3:00:00 PM
CISO,07/02/2018,9,SDGE,"1,992",07/02/2018 9:00:00 AM,07/02/2018 4:00:00 PM
CISO,07/02/2018,10,SDGE,"1,966",07/02/2018 10:00:00 AM,07/02/2018 5:00:00 PM
CISO,07/02/2018,11,SDGE,"1,925",07/02/2018 11:00:00 AM,07/02/2018 6:00:00 PM
CISO,07/02/2018,12,SDGE,"1,961",07/02/2018 12:00:00 PM,07/02/2018 7:00:00 PM
CISO,07/02/2018,13,SDGE,"1,978",07/02/2018 1:00:00 PM,07/02/2018 8:00:00 PM
CISO,07/02/2018,14,SDGE,"2,019",07/02/2018 2:00:00 PM,07/02/2018 9:00:00 PM
CISO,07/02/2018,15,SDGE,"2,052",07/02/2018 3:00:00 PM,07/02/2018 10:00:00 PM
CISO,07/02/2018,16,SDGE,"2,141",07/02/2018 4:00:00 PM,07/02/2018 11:00:00 PM
CISO,07/02/2018,17,SDGE,"2,268",07/02/2018 5:00:00 PM,07/03/2018 12:00:00 AM
CISO,07/02/2018,18,SDGE,"2,476",07/02/2018 6:00:00 PM,07/03/2018 1:00:00 AM
CISO,07/02/2018,19,SDGE,"2,602",07/02/2018 7:00:00 PM,07/03/2018 2:00:00 AM
CISO,07/02/2018,20,SDGE,"2,738",07/02/2018 8:00:00 PM,07/03/2018 3:00:00 AM
CISO,07/02/2018,21,SDGE,"2,818",07/02/2018 9:00:00 PM,07/03/2018 4:00:00 AM
CISO,07/02/2018,22,SDGE,"2,707",07/02/2018 10:00:00 PM,07/03/2018 5:00:00 AM
CISO,07/02/2018,23,SDGE,"2,421",07/02/2018 11:00:00 PM,07/03/2018 6:00:00 AM
CISO,07/02/2018,24,SDGE,"2,133",07/03/2018 12:00:00 AM,07/03/2018 7:00:00 AM
CISO,07/03/2018,1,SDGE,"1,959",07/03/2018 1:00:00 AM,07/03/2018 8:00:00 AM
CISO,07/03/2018,2,SDGE,"1,842",07/03/2018 2:00:00 AM,07/03/2018 9:00:00 AM
CISO,07/03/2018,3,SDGE,"1,780",07/03/2018 3:00:00 AM,07/03/2018 10:00:00 AM
CISO,07/03/2018,4,SDGE,"1,752",07/03/2018 4:00:00 AM,07/03/2018 11:00:00 AM
CISO,07/03/2018,5,SDGE,"1,771",07/03/2018 5:00:00 AM,07/03/2018 12:00:00 PM
CISO,07/03/2018,6,SDGE,"1,894",07/03/2018 6:00:00 AM,07/03/2018 1:00:00 PM
CISO,07/03/2018,7,SDGE,"1,954",07/03/2018 7:00:00 AM,07/03/2018 2:00:00 PM
CISO,07/03/2018,8,SDGE,"1,964",07/03/2018 8:00:00 AM,07/03/2018 3:00:00 PM
CISO,07/03/2018,9,SDGE,"1,996",07/03/2018 9:00:00 AM,07/03/2018 4:00:00 PM
CISO,07/03/2018,10,SDGE,"1,962",07/03/2018 10:00:00 AM,07/03/2018 5:00:00 PM
CISO,07/03/2018,11,SDGE,"1,971",07/03/2018 11:00:00 AM,07/03/2018 6:00:00 PM
CISO,07/03/2018,12,SDGE,"1,967",07/03/2018 12:00:00 PM,07/03/2018 7:00:00 PM
CISO,07/03/2018,13,SDGE,"1,930",07/03/2018 1:00:00 PM,07/03/2018 8:00:00 PM
CISO,07/03/2018,14,SDGE,"1,931",07/03/2018 2:00:00 PM,07/03/2018 9:00:00 PM
CISO,07/03/2018,15,SDGE,"1,960",07/03/2018 3:00:00 PM,07/03/2018 10:00:00 PM
CISO,07/03/2018,16,SDGE,"2,060",07/03/2018 4:00:00 PM,07/03/2018 11:00:00 PM
CISO,07/03/2018,17,SDGE,"2,178",07/03/2018 5:00:00 PM,07/04/2018 12:00:00 AM
CISO,07/03/2018,18,SDGE,"2,364",07/03/2018 6:00:00 PM,07/04/2018 1:00:00 AM
CISO,07/03/2018,19,SDGE,"2,479",07/03/2018 7:00:00 PM,07/04/2018 2:00:00 AM
CISO,07/03/2018,20,SDGE,"2,587",07/03/2018 8:00:00 PM,07/04/2018 3:00:00 AM
CISO,07/03/2018,21,SDGE,"2,680",07/03/2018 9:00:00 PM,07/04/2018 4:00:00 AM
CISO,07/03/2018,22,SDGE,"2,571",07/03/2018 10:00:00 PM,07/04/2018 5:00:00 AM
CISO,07/03/2018,23,SDGE,"2,378",07/03/2018 11:00:00 PM,07/04/2018 6:00:00 AM
CISO,07/03/2018,24,SDGE,"2,184",07/04/2018 12:00:00 AM,07/04/2018 7:00:00 AM
CISO,07/04/2018,1,SDGE,"2,032",07/04/2018 1:00:00 AM,07/04/2018 8:00:00 AM
CISO,07/04/2018,2,SDGE,"1,923",07/04/2018 2:00:00 AM,07/04/2018 9:00:00 AM
CISO,07/04/2018,3,SDGE,"1,826",07/04/2018 3:00:00 AM,07/04/2018 10:00:00 AM
CISO,07/04/2018,4,SDGE,"1,791",07/04/2018 4:00:00 AM,07/04/2018 11:00:00 AM
CISO,07/04/2018,5,SDGE,"1,789",07/04/2018 5:00:00 AM,07/04/2018 12:00:00 PM
CISO,07/04/2018,6,SDGE,"1,802",07/04/2018 6:00:00 AM,07/04/2018 1:00:00 PM
CISO,07/04/2018,7,SDGE,"1,762",07/04/2018 7:00:00 AM,07/04/2018 2:00:00 PM
