Balancing Authority,Data Date,Hour Number,Sub-Region,Demand (MW),Local Time at End of Hour,UTC Time at End of Hour
PJM,07/01/2018,1,PE,"4,397",07/01/2018 1:00:00 AM,07/01/2018 5:00:00 AM
PJM,07/01/2018,2,PE,"4,423",07/01/2018 2:00:00 AM,07/01/2018 6:00:00 AM
PJM,07/01/2018,3,PE,"4,743",07/01/2018 3:00:00 AM,07/01/2018 7:00:00 AM
PJM,07/01/2018,4,PE,"5,230",07/01/2018 4:00:00 AM,07/01/2018 8:00:00 AM
PJM,07/01/2018,5,PE,"5,752",07/01/2018 5:00:00 AM,07/01/2018 9:00:00 AM
PJM,07/01/2018,6,PE,"6,254",07/01/2018 6:00:00 AM,07/01/2018 10:00:00 AM
PJM,07/01/2018,7,PE,"6,669",07/01/2018 7:00:00 AM,07/01/2018 11:00:00 AM
PJM,07/01/2018,8,PE,"6,964",07/01/2018 8:00:00 AM,07/01/2018 12:00:00 PM
PJM,07/01/2018,9,PE,"7,228",07/01/2018 9:00:00 AM,07/01/2018 1:00:00 PM
PJM,07/01/2018,10,PE,"7,380",07/01/2018 10:00:00 AM,07/01/2018 2:00:00 PM
PJM,07/01/2018,11,PE,"7,480",07/01/2018 11:00:00 AM,07/01/2018 3:00:00 PM
PJM,07/01/2018,12,PE,"7,559",07/01/2018 12:00:00 PM,07/01/2018 4:00:00 PM
PJM,07/01/2018,13,PE,"7,564",07/01/2018 1:00:00 PM,07/01/2018 5:00:00 PM
PJM,07/01/2018,14,PE,"7,454",07/01/2018 2:00:00 PM,07/01/2018 6:00:00 PM
PJM,07/01/2018,15,PE,"7,260",07/01/2018 3:00:00 PM,07/01/2018 7:00:00 PM
PJM,07/01/2018,16,PE,"7,043",07/01/2018 4:00:00 PM,07/01/2018 8:00:00 PM
PJM,07/01/2018,17,PE,"6,867",07/01/2018 5:00:00 PM,07/01/2018 9:00:00 PM
PJM,07/01/2018,18,PE,"6,436",07/01/2018 6:00:00 PM,07/01/2018 10:00:00 PM
PJM,07/01/2018,19,PE,"5,997",07/01/2018 7:00:00 PM,07/01/2018 11:00:00 PM
PJM,07/01/2018,20,PE,"5,547",07/01/2018 8:00:00 PM,07/02/2018 12:00:00 AM
PJM,07/01/2018,21,PE,"5,225",07/01/2018 9:00:00 PM,07/02/2018 1:00:00 AM
PJM,07/01/2018,22,PE,"4,976",07/01/2018 10:00:00 PM,07/02/2018 2:00:00 AM
PJM,07/01/2018,23,PE,"4,832",07/01/2018 11:00:00 PM,07/02/2018 3:00:00 AM
